2021-02-08 08:37:39,"b'Ridiculous!Instead of probing slanderous&amp;seditious tweets by @AamAadmiParty member #NikitaJacob,who also happens to\xe2\x80\xa6 https://t.co/XUGfziBNKo'"
2021-02-08 07:55:20,b'.@AmitShah \xe0\xa4\x9c\xe0\xa5\x80 \xe0\xa4\x95\xe0\xa4\xbe \xe0\xa4\xaf\xe0\xa5\x87 \xe0\xa4\x89\xe0\xa4\xa4\xe0\xa5\x8d\xe0\xa4\x95\xe0\xa5\x83\xe0\xa4\xb7\xe0\xa5\x8d\xe0\xa4\x9f \xe0\xa4\xb2\xe0\xa5\x87\xe0\xa4\x96 \xe0\xa4\x9c\xe0\xa4\xbc\xe0\xa4\xb0\xe0\xa5\x82\xe0\xa4\xb0 \xe0\xa4\xaa\xe0\xa4\xa2\xe0\xa4\xbc\xe0\xa5\x87\xe0\xa4\x82--\xe0\xa4\x85\xe0\xa4\xa8\xe0\xa5\x87\xe0\xa4\x95 \xe0\xa4\x9a\xe0\xa5\x81\xe0\xa4\xa8\xe0\xa5\x8c\xe0\xa4\xa4\xe0\xa4\xbf\xe0\xa4\xaf\xe0\xa5\x8b\xe0\xa4\x82 \xe0\xa4\x95\xe0\xa5\x87 \xe0\xa4\xac\xe0\xa4\xbe\xe0\xa4\xb5\xe0\xa4\x9c\xe0\xa5\x82\xe0\xa4\xa6 \xe0\xa4\xae\xe0\xa5\x8b\xe0\xa4\xa6\xe0\xa5\x80 \xe0\xa4\xb8\xe0\xa4\xb0\xe0\xa4\x95\xe0\xa4\xbe\xe0\xa4\xb0 \xe0\xa4\xa8\xe0\xa5\x87 \xe0\xa4\x95\xe0\xa4\xbf\xe0\xa4\xb8\xe0\xa5\x80 \xe0\xa4\xaa\xe0\xa5\x8d\xe0\xa4\xb0\xe0\xa4\x95\xe0\xa4\xbe\xe0\xa4\xb0 \xe0\xa4\x95\xe0\xa4\xbe \xe0\xa4\x85\xe0\xa4\xa4\xe0\xa4\xbf\xe0\xa4\xb0\xe0\xa4\xbf\xe0\xa4\x95 \xe0\xa4\x9f\xe0\xa5\x88\xe0\xa4\x95\xe0\xa5\x8d\xe0\xa4\xb8 \xe0\xa4\xb2\xe2\x80\xa6 https://t.co/4SMZDPNXgJ'
2021-02-08 07:28:14,"b'@AnujitKumarMuk1 @narendramodi Such an Outstanding Address by @narendramodi ji,covering every Single Topical Issue-\xe2\x80\xa6 https://t.co/RjIibl8c7a'"
2021-02-08 06:36:18,b'PM Modi has reiterated in the past&amp;did it yet again--MSP is not going anywhere but is here to stay\n\nMessage to\xe2\x80\xa6 https://t.co/ZsQ1Gmxi0c'
2021-02-07 13:44:39,b'\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f https://t.co/3HpAHxdGKg'
2021-02-07 13:42:52,"b"".@narendramodi 's efforts to shape India into #GasBased economy got a fillip with PM Modi laying foundation of 347k\xe2\x80\xa6 https://t.co/0VIYsSZFDj"""
2021-02-07 08:44:55,"b'Assuming Rs93.49 per litre as #Petrol price in Mumbai,while only Rs20.18 is Central Tax,38.95,is State #VAT&amp;levies,\xe2\x80\xa6 https://t.co/ipSg8DY2KF'"
2021-02-07 07:13:34,"b'My column in #SundayGuardian today,explains how 41.66% of Petrol price per litre,goes towards State VAT&amp;levies;Only\xe2\x80\xa6 https://t.co/VlKSEwo69G'"
2021-02-06 19:11:25,"b'@AparBharat Ha ha:)This was clicked in Jan 2020,in Columbia,where I went to showcase my book #TruthandDare!'"
2021-02-06 19:06:30,b'#NewProfilePic https://t.co/AtIEkHvUFu'
2021-02-06 15:36:48,b'Now on @TimesNow'
2021-02-06 09:35:48,b'From 6-7pm on @Republic_Bharat \nFrom 9-10pm on @TimesNow'
2021-02-06 05:52:35,"b""So an expelled Congress 'leader' thinks,Rihanna&amp;Mia Khalifa are women with courage&amp;conviction?Really?To be paid for\xe2\x80\xa6 https://t.co/56VldeDKEV"""
2021-02-06 05:43:48,b'@devparakh @HashTagCricket \xf0\x9f\x99\x8f\xf0\x9f\x99\x8f'
2021-02-05 20:17:43,"b'Mo Dhaliwal,Khalistani supporter, Jagmeet Dhaliwal,Khalistani supporter&amp;ofcourse @rihanna,a paid pawn who tweets at\xe2\x80\xa6 https://t.co/KuPVRud58T'"
2021-02-05 18:54:09,b'\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f https://t.co/uxzgGGzwmx'
2021-02-05 18:07:51,b'@Rohit19554851 \xf0\x9f\x99\x8f\xf0\x9f\x99\x8f'
2021-02-05 17:33:44,b'Indeed..it was a good debate:):) https://t.co/CRLAPspNkq'
2021-02-05 16:25:35,b'From 10-11pm on @republic'
2021-02-05 16:25:15,b'@potnerfect \xf0\x9f\x99\x8f\xf0\x9f\x99\x8f'
2021-02-05 16:24:50,"b'Well, the moot point is that, @PreetiChoudhry gave every panelist ample time,it was a very well moderated&amp;well cond\xe2\x80\xa6 https://t.co/gbbGlOJ7aU'"
2021-02-05 15:54:33,b'\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f https://t.co/rES33uCet7'
2021-02-05 15:29:48,b'On @IndiaToday at 9.10pm'
2021-02-05 14:28:15,b'Now on @TimesNow'
2021-02-05 13:38:54,b'Also on @IndiaToday at 9pm https://t.co/8Kcy6EBTtC'
2021-02-05 09:13:08,b'From 8-9pm on @TimesNow \nFrom 10-11pm on @republic'
2021-02-05 09:05:42,"b""My thread on #RBICreditPolicy summarizes big moves like allowing retail investors to trade in Gilts via RBI's\xe2\x80\xa6 https://t.co/qUBTgnyEUe"""
2021-02-05 08:41:29,"b'Restoring Held to Maturity,#HTM facility back to 19.5% from June 30th 2023,is a practical move,now that stress on b\xe2\x80\xa6 https://t.co/mfWaRzwvc2'"
2021-02-05 08:20:41,"b'As part of continuing efforts to increase retail participation in govt securities,RBI decided to move beyond aggreg\xe2\x80\xa6 https://t.co/BoEver2DwR'"
2021-02-05 08:16:13,"b'While Vegetable inflation fell to 3.41% in Dec 2020&amp;Retail inflation fell to 4.59% from 6.93% in Nov 2020,RBI did t\xe2\x80\xa6 https://t.co/n82UpTG2lN'"
2021-02-05 08:06:17,"b'Enough #Liquidity there in system,in LAF window,with banks provided addnl liquidity of Rs 1.53 lakh Cr\n\nHence,#CRR\xe2\x80\xa6 https://t.co/i1mnNU1tH5'"
2021-02-05 07:55:43,"b'Despite a massive Rs 12 lakh Cr of govt borrowings estimated in FY22,the good thing is,weighted average cost of fun\xe2\x80\xa6 https://t.co/qRPM62axFy'"
2021-02-05 07:51:38,"b'RBI Governor leaving Repo unchanged at 4%,ReverseRepo@ 3.35%&amp;Marginal StandingFacility@ 4.25%,on expected lines\n\nIn\xe2\x80\xa6 https://t.co/L6nfhvEWvi'"
2021-02-05 07:26:02,b'@rupeshsk \xf0\x9f\x99\x8f\xf0\x9f\x99\x8f'
2021-02-05 03:06:46,b'@indujalali \xf0\x9f\x99\x8f\xf0\x9f\x99\x8f'
2021-02-04 20:45:34,"b'You are so delusional&amp;so are @rihanna,@meenaharris&amp; @GretaThunberg!Your ilk condemned #Insurrection in USA,but you\xe2\x80\xa6 https://t.co/526mLSeVVK'"
2021-02-04 18:01:29,"b'And yes @meenaharris,before commenting on #FarmLaws,which are aimed at empowering Indian #Farmers,pls do care to re\xe2\x80\xa6 https://t.co/A3nTl4JBl0'"
2021-02-04 17:55:49,"b'Over 500 Indian policemen are injured due to a violent mob that attacked #RedFort,under the guise of a peaceful ral\xe2\x80\xa6 https://t.co/qfJE97F68C'"
2021-02-04 17:13:25,b'@yashshiningstar @SureshNakhua \xf0\x9f\x99\x8f\xf0\x9f\x99\x8f'
2021-02-04 16:37:53,"b'My 10pm debate on @republic stands cancelled,as the channel mourns the untimely demise of @Republic_Bharat anchor, #VikasSharma'"
2021-02-04 13:57:43,b'@KishoreVaid \xf0\x9f\x99\x8f\xf0\x9f\x99\x8f'
2021-02-04 13:56:57,b'\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f https://t.co/dk0Ql0qtuQ'
2021-02-04 13:36:18,"b'My thread on #Fiscal math of #Budget2021,shows,despite 6.8% fiscal deficit target for FY22, @narendramodi govt,has\xe2\x80\xa6 https://t.co/cxL3j7yM0k'"
2021-02-04 13:24:05,b'@pramodg0501 \xf0\x9f\x99\x8f\xf0\x9f\x99\x8f'
2021-02-04 13:23:42,b'@AlpsMustBeCrazy @ARanganathan72 \xf0\x9f\x99\x8f\xf0\x9f\x99\x8f'
2021-02-04 13:23:07,b'@LaksshyaAdvani @SureshNakhua \xf0\x9f\x99\x8f\xf0\x9f\x99\x8f'
2021-02-04 13:22:32,"b""Spate of robust earnings continue, with #NTPC reporting Profit of 3315Cr in Dec'20 qtr,up 11% YoY\n\nRevenues up 4.5%\xe2\x80\xa6 https://t.co/7rhOkYAl2v"""
2021-02-04 13:16:09,"b""As if on cue,#SBI reported Profit of Rs 5196Cr for Dec'20 qtr,with big improvement in #AssetQuality\n\n#GrossNPAs fel\xe2\x80\xa6 https://t.co/cWABr8qEA8"""
2021-02-04 12:37:48,b'Expenditure on FinanceCommission &amp;other transfers is pegged@10 paise;Subsidies&amp;Pension would account for 8paise&amp;5pa\xe2\x80\xa6 https://t.co/YK8uY0lSVF'
2021-02-04 12:33:49,b'\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f https://t.co/6JQMqu55j1'
2021-02-04 12:33:30,"b""On #Expenditure side,biggest outlay is for interest payments at 20paise for every rupee,followed by States' share o\xe2\x80\xa6 https://t.co/DyhdpWFtKt"""
2021-02-04 12:29:28,b'Now on @IndiaToday'
2021-02-04 12:18:54,b'@NimbuMassala @SureshNakhua \xf0\x9f\x98\x88\xf0\x9f\x99\x8f'
2021-02-04 12:17:59,b'@Tec_Wealth @SureshNakhua \xf0\x9f\x99\x8f\xf0\x9f\x99\x8f'
2021-02-04 12:17:43,b'@RozatRajat @SureshNakhua \xf0\x9f\x99\x8f\xf0\x9f\x99\x8f'
2021-02-04 12:17:36,b'@SanjeevKumarJK @SureshNakhua \xf0\x9f\x99\x8f\xf0\x9f\x99\x8f'
2021-02-04 11:47:08,b'@123premnagar @DeepakG93545852 \xf0\x9f\x99\x8f\xf0\x9f\x99\x8f'
2021-02-04 10:57:53,"b'GST will contribute 15paise in every rupee revenue,corporate tax will contribute 13paise to each rupee earned;8pais\xe2\x80\xa6 https://t.co/fqiwGtyOv1'"
2021-02-04 10:51:10,"b'Critics have asked,wrt #Budget2021, how will @narendramodi govt manage finances\n\nWell,for every rupee in govt coffe\xe2\x80\xa6 https://t.co/yLAv279RGK'"
2021-02-04 10:22:59,b'\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f https://t.co/bXnmXrSR8U'
2021-02-04 10:22:16,b'@Nanjeesha1 \xf0\x9f\x99\x8f\xf0\x9f\x99\x8f'
2021-02-04 10:22:10,b'@sukeshchandersh \xf0\x9f\x99\x8f\xf0\x9f\x99\x8f'
2021-02-04 10:22:00,b'@BongVaani \xf0\x9f\x99\x8f\xf0\x9f\x99\x8f'
2021-02-04 10:21:51,b'\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f https://t.co/3roN4q0wh0'
2021-02-04 10:21:51,b'\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f https://t.co/6yEVoaD5mp'
2021-02-04 10:21:51,b'\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f https://t.co/d6XbXfkJJF'
2021-02-04 09:15:14,b'Also at 6pm on @IndiaToday https://t.co/Qx2LPWvbQ5'
2021-02-04 09:06:16,b'At 5pm on @news24tvchannel and from 10-11pm on @republic'
2021-02-04 08:24:03,b'@MahendraKhiani8 \xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f'
2021-02-04 08:19:36,"b'Thank you,coming from a journalist with @DDNational,makes it special:) https://t.co/cxd7fNpBDy'"
2021-02-04 08:17:45,b'@SMedia4 \xf0\x9f\x99\x8f\xf0\x9f\x99\x8f'
2021-02-04 08:17:27,b'@aimingforlight \xf0\x9f\x99\x8f\xf0\x9f\x99\x8f'
2021-02-04 08:01:00,b'Ha ha:):)\xf0\x9f\x99\x8f https://t.co/h4KzHknEwd'
2021-02-04 07:18:44,b'\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f https://t.co/o2dVYo4C54'
2021-02-04 07:18:11,b'\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f https://t.co/szTqDB2XRo'
2021-02-04 07:16:46,b'\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f:):) https://t.co/12yB1GsNE8'
2021-02-04 05:41:40,b'@DeepakG93545852 \xf0\x9f\x99\x8f\xf0\x9f\x99\x8f'
